image_file,source_frame,class_name,confidence,x_min,y_min,x_max,y_max,img_w,img_h,saved_time
vid_IMG_1557_20260823_021044_0000.jpg,0,person,0.694,1139,334,1220,587,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,person,0.680,252,622,389,718,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,person,0.660,8,505,121,660,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,person,0.645,754,451,839,553,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,person,0.622,626,487,772,610,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,person,0.550,297,305,387,434,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,person,0.496,161,360,281,470,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,person,0.466,960,379,1065,488,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,tv,,640,364,679,421,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,tv,,704,354,746,400,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,tv,,74,536,236,683,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,tv,,0,471,60,576,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,tv,,418,396,492,469,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,tv,,812,336,846,376,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,tv,,866,372,906,429,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,tv,,928,360,961,410,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,tv,,542,400,582,452,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,tv,,607,430,680,498,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,tv,,802,382,855,441,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,tv,,301,490,433,610,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,tv,,764,346,791,390,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,tv,,868,460,955,581,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,tv,,421,396,492,449,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,tv,,173,438,239,524,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,tv,,844,377,878,433,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,tv,,281,419,365,496,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,tv,,303,489,432,574,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,tv,,788,337,846,380,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,tv,,605,440,680,513,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0000.jpg,0,tv,,974,352,1002,394,1280,720,2026-08-23 02:10:44
vid_IMG_1557_20260823_021044_0001.jpg,180,person,0.710,122,366,242,512,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,person,0.642,1077,311,1175,560,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,person,0.607,601,481,748,606,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,person,0.537,177,474,284,628,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,person,0.534,903,361,990,529,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,person,0.530,258,311,351,437,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,607,357,646,414,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,35,550,199,705,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,383,397,458,467,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,730,336,757,381,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,778,324,810,364,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,672,345,712,389,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,892,346,922,394,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,507,396,548,453,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,847,444,917,562,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,833,359,870,415,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,567,568,689,719,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,568,425,651,513,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,739,499,835,634,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,453,453,545,550,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,269,490,399,595,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,766,371,816,434,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,467,451,545,524,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,558,434,632,513,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,0,488,13,561,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,117,450,197,524,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,576,422,649,492,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,500,451,545,522,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,718,334,757,381,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,771,325,811,377,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0001.jpg,180,tv,,55,470,140,532,1280,720,2026-08-23 02:10:53
vid_IMG_1557_20260823_021044_0002.jpg,360,person,0.754,585,482,720,604,1280,720,2026-08-23 02:11:01
vid_IMG_1557_20260823_021044_0002.jpg,360,person,0.681,163,466,271,614,1280,720,2026-08-23 02:11:01
vid_IMG_1557_20260823_021044_0002.jpg,360,person,0.636,232,302,320,432,1280,720,2026-08-23 02:11:01
vid_IMG_1557_20260823_021044_0002.jpg,360,person,0.496,882,362,976,526,1280,720,2026-08-23 02:11:01
vid_IMG_1557_20260823_021044_0002.jpg,360,tv,,758,324,791,367,1280,720,2026-08-23 02:11:01
vid_IMG_1557_20260823_021044_0002.jpg,360,tv,,586,355,624,413,1280,720,2026-08-23 02:11:01
vid_IMG_1557_20260823_021044_0002.jpg,360,tv,,359,394,435,461,1280,720,2026-08-23 02:11:01
vid_IMG_1557_20260823_021044_0002.jpg,360,tv,,0,543,171,705,1280,720,2026-08-23 02:11:01
vid_IMG_1557_20260823_021044_0002.jpg,360,tv,,233,489,376,625,1280,720,2026-08-23 02:11:01
vid_IMG_1557_20260823_021044_0002.jpg,360,tv,,652,343,693,390,1280,720,2026-08-23 02:11:01
vid_IMG_1557_20260823_021044_0002.jpg,360,tv,,551,424,628,507,1280,720,2026-08-23 02:11:01
vid_IMG_1557_20260823_021044_0002.jpg,360,tv,,486,392,528,449,1280,720,2026-08-23 02:11:01
vid_IMG_1557_20260823_021044_0002.jpg,360,tv,,709,333,737,379,1280,720,2026-08-23 02:11:01
vid_IMG_1557_20260823_021044_0002.jpg,360,tv,,747,375,794,430,1280,720,2026-08-23 02:11:01
vid_IMG_1557_20260823_021044_0002.jpg,360,tv,,818,450,896,574,1280,720,2026-08-23 02:11:01
vid_IMG_1557_20260823_021044_0002.jpg,360,tv,,812,358,851,416,1280,720,2026-08-23 02:11:01
vid_IMG_1557_20260823_021044_0002.jpg,360,tv,,848,443,883,478,1280,720,2026-08-23 02:11:01
vid_IMG_1557_20260823_021044_0002.jpg,360,tv,,242,489,375,584,1280,720,2026-08-23 02:11:01
vid_IMG_1557_20260823_021044_0002.jpg,360,tv,,527,425,627,513,1280,720,2026-08-23 02:11:01
vid_IMG_1557_20260823_021044_0002.jpg,360,tv,,723,501,816,630,1280,720,2026-08-23 02:11:01
vid_IMG_1557_20260823_021044_0003.jpg,540,person,0.765,1044,339,1147,579,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,person,0.687,600,471,726,593,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,person,0.667,172,449,279,606,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,person,0.636,255,284,347,416,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,person,0.604,125,338,251,479,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,person,0.546,0,474,126,654,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,person,0.531,201,625,356,719,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,tv,,601,346,639,404,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,tv,,17,527,186,679,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,tv,,725,325,752,370,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,tv,,666,335,708,378,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,tv,,773,317,806,359,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,tv,,375,379,449,446,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,tv,,828,353,866,410,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,tv,,762,365,810,426,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,tv,,887,341,920,391,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,tv,,568,417,641,500,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,tv,,559,565,681,716,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,tv,,832,440,914,566,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,tv,,448,439,544,537,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,tv,,501,381,543,421,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,tv,,757,320,805,367,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,tv,,122,424,187,504,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0003.jpg,540,tv,,252,472,389,583,1280,720,2026-08-23 02:11:09
vid_IMG_1557_20260823_021044_0004.jpg,720,person,0.798,1029,337,1135,584,1280,720,2026-08-23 02:11:16
vid_IMG_1557_20260823_021044_0004.jpg,720,person,0.695,172,447,289,607,1280,720,2026-08-23 02:11:16
vid_IMG_1557_20260823_021044_0004.jpg,720,person,0.632,192,621,346,716,1280,720,2026-08-23 02:11:16
vid_IMG_1557_20260823_021044_0004.jpg,720,person,0.556,246,277,338,408,1280,720,2026-08-23 02:11:16
vid_IMG_1557_20260823_021044_0004.jpg,720,person,0.473,118,330,240,467,1280,720,2026-08-23 02:11:16
vid_IMG_1557_20260823_021044_0004.jpg,720,tv,,11,516,178,665,1280,720,2026-08-23 02:11:16
vid_IMG_1557_20260823_021044_0004.jpg,720,tv,,664,331,705,373,1280,720,2026-08-23 02:11:16
vid_IMG_1557_20260823_021044_0004.jpg,720,tv,,758,363,807,425,1280,720,2026-08-23 02:11:16
vid_IMG_1557_20260823_021044_0004.jpg,720,tv,,370,375,446,433,1280,720,2026-08-23 02:11:16
vid_IMG_1557_20260823_021044_0004.jpg,720,tv,,770,315,803,355,1280,720,2026-08-23 02:11:16
vid_IMG_1557_20260823_021044_0004.jpg,720,tv,,599,340,636,399,1280,720,2026-08-23 02:11:16
vid_IMG_1557_20260823_021044_0004.jpg,720,tv,,720,322,748,367,1280,720,2026-08-23 02:11:16
